experiment,dataset,threshold,accuracy,dice,sensitivity,specificity,auc
E2_Green_UNet,STARE_AH,0.25,0.9496468303731035,0.7760995038655852,0.8773880899864313,0.956767357657608,0.9792617045191765
E4_Green_Attention_UNet,STARE_AH,0.3,0.9469218311686026,0.7615349596024117,0.8649308850487081,0.9549084172665836,0.9709105000803119
E5_Green_CLAHE_Attention_UNet,STARE_AH,0.25,0.9409236471792427,0.7552084352697503,0.904691721801074,0.9442411444499508,0.9783445369979548
E3_Green_CLAHE_UNet,STARE_AH,0.3,0.9433894578538368,0.7428045367600948,0.8319984841443322,0.9546495300075302,0.9610028225532226
E1_RGB_UNet,STARE_AH,0.35,0.9252439566574191,0.3913566086675509,0.3544596697332452,0.9868920296986833,0.7439202864234528
E2_Green_UNet,STARE_VK,0.25,0.9422576960765128,0.772672518460199,0.7396361137751605,0.9764275219302772,0.9560719436110421
E5_Green_CLAHE_Attention_UNet,STARE_VK,0.25,0.9377591967226676,0.7709899171539336,0.7757810457681266,0.9658548255531505,0.9535375798895733
E4_Green_Attention_UNet,STARE_VK,0.3,0.9408061487212329,0.7642258656987156,0.7338741507839839,0.9752217253274222,0.9474538136545048
E3_Green_CLAHE_UNet,STARE_VK,0.3,0.9357475674211736,0.7437628210364697,0.7056685709899948,0.9740578337081756,0.938332945973924
E1_RGB_UNet,STARE_VK,0.35,0.8939919115394834,0.35556036822526077,0.2822491179542496,0.9938047105860376,0.7226282920812206
