experiment,dataset,setting,threshold,accuracy,dice,sensitivity,specificity,auc
E1_RGB_UNet,DRIVE_test,fixed_0.50,0.5,0.9531640855655164,0.815460578140061,0.825484769821014,0.9724785767043003,0.977311402657586
E1_RGB_UNet,DRIVE_test,validation_optimized,0.35,0.950934962984625,0.8133914328363824,0.8507824650914187,0.9661928568709603,0.977311402657586
E1_RGB_UNet,STARE_AH,fixed_0.50,0.5,0.9256525692952428,0.3840482839388337,0.33892784237445606,0.9892813707076165,0.7439202864234528
E1_RGB_UNet,STARE_AH,validation_optimized,0.35,0.9252439566574191,0.3913566086675509,0.3544596697332452,0.9868920296986833,0.7439202864234528
E1_RGB_UNet,STARE_VK,fixed_0.50,0.5,0.8924766220748216,0.342381343651012,0.26608605873249785,0.9951788743093278,0.7226282920812206
E1_RGB_UNet,STARE_VK,validation_optimized,0.35,0.8939919115394834,0.35556036822526077,0.2822491179542496,0.9938047105860376,0.7226282920812206
E2_Green_UNet,DRIVE_test,fixed_0.50,0.5,0.9553341279893495,0.8202860138149612,0.8068569792057015,0.9773335045991098,0.9791524220592143
E2_Green_UNet,DRIVE_test,validation_optimized,0.25,0.952316184642141,0.8191524267411825,0.8538177033801071,0.9670015526319717,0.9791524220592143
E2_Green_UNet,STARE_AH,fixed_0.50,0.5,0.9567761602597878,0.7907248977813545,0.8400671016567678,0.9689070448296293,0.9792617045191765
E2_Green_UNet,STARE_AH,validation_optimized,0.25,0.9496468303731035,0.7760995038655852,0.8773880899864313,0.956767357657608,0.9792617045191765
E2_Green_UNet,STARE_VK,fixed_0.50,0.5,0.9415032581643711,0.7581242948270593,0.6881380085829526,0.9845197853889565,0.9560719436110421
E2_Green_UNet,STARE_VK,validation_optimized,0.25,0.9422576960765128,0.772672518460199,0.7396361137751605,0.9764275219302772,0.9560719436110421
E3_Green_CLAHE_UNet,DRIVE_test,fixed_0.50,0.5,0.9554661245292151,0.8219873582791116,0.8130630260496765,0.9765626495647399,0.9775807932766354
E3_Green_CLAHE_UNet,DRIVE_test,validation_optimized,0.3,0.9534019943787154,0.8212429549378581,0.8459153372062262,0.9693921803499359,0.9775807932766354
E3_Green_CLAHE_UNet,STARE_AH,fixed_0.50,0.5,0.9491197967379466,0.7532491246558511,0.8026587086937231,0.9643299009422407,0.9610028225532226
E3_Green_CLAHE_UNet,STARE_AH,validation_optimized,0.3,0.9433894578538368,0.7428045367600948,0.8319984841443322,0.9546495300075302,0.9610028225532226
E3_Green_CLAHE_UNet,STARE_VK,fixed_0.50,0.5,0.9358302186361384,0.7333765179776697,0.6668437007631964,0.9808882122032749,0.938332945973924
E3_Green_CLAHE_UNet,STARE_VK,validation_optimized,0.3,0.9357475674211736,0.7437628210364697,0.7056685709899948,0.9740578337081756,0.938332945973924
E4_Green_Attention_UNet,DRIVE_test,fixed_0.50,0.5,0.9552556494702216,0.8225402208599798,0.8202740058725947,0.9752523526934235,0.9790001436147288
E4_Green_Attention_UNet,DRIVE_test,validation_optimized,0.3,0.9527611695348591,0.8206654524976289,0.8546153174979443,0.9673599726856275,0.9790001436147288
E4_Green_Attention_UNet,STARE_AH,fixed_0.50,0.5,0.952662045327501,0.7728638650317612,0.8389951675579995,0.9642161952050893,0.9709105000803119
E4_Green_Attention_UNet,STARE_AH,validation_optimized,0.3,0.9469218311686026,0.7615349596024117,0.8649308850487081,0.9549084172665836,0.9709105000803119
E4_Green_Attention_UNet,STARE_VK,fixed_0.50,0.5,0.9405175766180639,0.7538827676563985,0.6964442224329134,0.9814446396567703,0.9474538136545048
E4_Green_Attention_UNet,STARE_VK,validation_optimized,0.3,0.9408061487212329,0.7642258656987156,0.7338741507839839,0.9752217253274222,0.9474538136545048
E5_Green_CLAHE_Attention_UNet,DRIVE_test,fixed_0.50,0.5,0.9547877256733546,0.8168277798601672,0.7978857263603814,0.9779829220361673,0.9770386621661503
E5_Green_CLAHE_Attention_UNet,DRIVE_test,validation_optimized,0.25,0.9521755614678419,0.8169289186835647,0.8437417066903731,0.9682893182987353,0.9770386621661503
E5_Green_CLAHE_Attention_UNet,STARE_AH,fixed_0.50,0.5,0.9500957489281113,0.7768305061158316,0.8723771249720365,0.9580654265707078,0.9783445369979548
E5_Green_CLAHE_Attention_UNet,STARE_AH,validation_optimized,0.25,0.9409236471792427,0.7552084352697503,0.904691721801074,0.9442411444499508,0.9783445369979548
E5_Green_CLAHE_Attention_UNet,STARE_VK,fixed_0.50,0.5,0.9394760193222247,0.7653493041047341,0.7287844213712792,0.9759533605324302,0.9535375798895733
E5_Green_CLAHE_Attention_UNet,STARE_VK,validation_optimized,0.25,0.9377591967226676,0.7709899171539336,0.7757810457681266,0.9658548255531505,0.9535375798895733
