experiment,matched_unet_experiment,dataset,threshold,accuracy,dice,sensitivity,specificity,auc
M2_E1_RGB_NoSkip,E1_RGB_UNet,DRIVE_test,0.4,0.9179905433883183,0.6948367577033736,0.7378023088318719,0.9446161440405936,0.9244432489017568
M2_E1_RGB_NoSkip,E1_RGB_UNet,STARE_AH,0.4,0.93077887415233,0.5510243884587781,0.5151895978567289,0.9744419290972977,0.896209772473388
M2_E1_RGB_NoSkip,E1_RGB_UNet,STARE_VK,0.4,0.9039703477656691,0.5069132582034366,0.40779634334367215,0.983221376610727,0.8514806882714521
M2_E2_Green_NoSkip,E2_Green_UNet,DRIVE_test,0.35,0.9189353981004134,0.6940251299988313,0.7261571892030576,0.9472735040569165,0.9214810389049474
M2_E2_Green_NoSkip,E2_Green_UNet,STARE_AH,0.35,0.927662018736448,0.6905827277743566,0.7863986817206648,0.9422588807350325,0.9553955869945849
M2_E2_Green_NoSkip,E2_Green_UNet,STARE_VK,0.35,0.9158884922232271,0.6850990018937501,0.6570993883922907,0.9581799693597903,0.9148869230624224
M2_E3_Green_CLAHE_NoSkip,E3_Green_CLAHE_UNet,DRIVE_test,0.4,0.9208946890175239,0.7008971781432765,0.7325319827600891,0.9486432345521939,0.9251354082036622
M2_E3_Green_CLAHE_NoSkip,E3_Green_CLAHE_UNet,STARE_AH,0.4,0.9293188847067695,0.6960559703650911,0.7938605413830715,0.9436810518915587,0.9561352282584915
M2_E3_Green_CLAHE_NoSkip,E3_Green_CLAHE_UNet,STARE_VK,0.4,0.9169547158269662,0.6904545306135942,0.663738438117086,0.959406741339435,0.9158600313340297
